tka|tak
weim|wiem
soie|sobie
jetsem|jestem
nci|nic
weim|wiem
sobei|sobie
czesu|czasu
nei|nie
twedy|wtedy
jetses|jestes
bebili|debili
ise|sie
ciebie|Ciebie
sei|sie
ciebei|Ciebie
bardoz|bardzo
ael|ale
amsz|masz
ine|nie
Cibei|Ciebie
dobrez|dobrze
znacyz|znaczy
tylkoze|tylko, ze
czes|czesc
niespodzianak|niespodzianka
prozse|prosze
kagraj|nagraj
kazwie|nazwie
mawet|nawet
mich|moich
wem|wiem
zraz|zaraz
przypsorzy|przysporzy
aniosku|wniosku
zmaiana|zmiana
potzrebne|potrzebne
zastanwaim|zastanawiam
psotkamy|spotkamy
zazskodzi|zaszkodzi
niee|nie-e
